trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
16,False,"{'a': 0.7, 'e': 0.8521437889662113}",20,0,-24.44248717252831,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.8436648165963837}",25,0,-56.0030721133226,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.835270211411272}",25,14,-2.137252725850705,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.8269591339433623}",25,8,-46.66359885206768,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.8187307530779818}",20,5,-24.051846861645497,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.8105842459701871}",20,0,-48.87199430015596,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.8025187979624785}",25,0,-135.08940802744453,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.7, 'e': 0.794533602503334}",20,0,-118.14661792732674,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
24,False,"{'a': 0.7, 'e': 0.7866278610665535}",30,0,-109.58488012578259,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.7788007830714049}",20,0,-20.094363312777023,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.7710515858035663}",20,11,15.632049056593297,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.7633794943368531}",30,0,-152.34342030127178,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
28,False,"{'a': 0.7, 'e': 0.7557837414557255}",25,0,-158.42913095486486,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
29,False,"{'a': 0.7, 'e': 0.7482635675785653}",20,0,-53.707750443576195,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.7, 'e': 0.7408182206817179}",25,0,-47.59322636370339,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
31,False,"{'a': 0.7, 'e': 0.7334469562242892}",20,0,5.242679910180493,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.7261490370736909}",30,3,-8.93675271755427,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.7, 'e': 0.7189237334319262}",30,9,-19.33865974145534,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.7117703227626097}",30,0,-62.561509630577916,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.7046880897187134}",30,0,-126.6479680413467,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
36,False,"{'a': 0.7, 'e': 0.697676326071031}",25,0,-59.580699839248744,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.7, 'e': 0.6907343306373547}",25,3,-27.725820580931142,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.6838614092123558}",30,0,-63.394277008984226,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.7, 'e': 0.6770568744981647}",35,0,-140.7050422201533,"{0: 22, 1: 5, 2: 6, 3: 0, 4: 2}",1
40,False,"{'a': 0.7, 'e': 0.6703200460356393}",20,0,-84.16199305889123,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
41,False,"{'a': 0.7, 'e': 0.6636502501363194}",20,0,-8.246265783043144,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
42,False,"{'a': 0.7, 'e': 0.6570468198150567}",20,8,-56.87709683252071,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.7, 'e': 0.6505090947233165}",25,0,-44.76124679573514,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.6440364210831414}",25,0,-57.25613919119186,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.7, 'e': 0.6376281516217733}",20,0,-68.19459223966645,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.7, 'e': 0.631283645506926}",20,6,-6.38407689360363,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.6250022682827008}",30,21,4.781900966591834,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.6187833918061408}",20,0,-59.27276665833819,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
49,False,"{'a': 0.7, 'e': 0.6126263941844161}",25,0,-27.169882553203323,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.6065306597126334}",25,0,-103.54720831709082,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.7, 'e': 0.6004955788122659}",20,0,-76.33517740005021,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.7, 'e': 0.5945205479701944}",25,0,-77.18241841761447,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.7, 'e': 0.5886049696783552}",20,0,-176.00783165469312,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
54,False,"{'a': 0.7, 'e': 0.5827482523739896}",20,0,10.027904186784598,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.5769498103804866}",20,2,-46.475949699964005,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.7, 'e': 0.5712090638488149}",25,0,-41.01999490562337,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.7, 'e': 0.5655254386995371}",20,0,-100.07666303980017,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
58,False,"{'a': 0.7, 'e': 0.559898366565402}",20,0,-7.501804581786876,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.7, 'e': 0.5543272847345071}",20,0,-38.90832123563171,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.7, 'e': 0.5488116360940265}",20,9,-23.55200720906782,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
61,False,"{'a': 0.7, 'e': 0.5433508690744998}",20,0,-14.122488100576058,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.7, 'e': 0.5379444375946745}",20,6,3.658348819735114,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.5325918010068972}",20,1,-20.90912225142241,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.5272924240430485}",20,9,-45.646459303898524,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.7, 'e': 0.522045776761016}",25,0,-27.851935757281243,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.7, 'e': 0.5168513344916992}",20,0,-58.530948669225374,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
67,False,"{'a': 0.7, 'e': 0.5117085777865424}",25,10,-23.245142450724927,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.5066169923655895}",25,0,-15.643476320835472,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
69,False,"{'a': 0.7, 'e': 0.5015760690660555}",25,0,-97.37331289641826,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.7, 'e': 0.49658530379140947}",30,20,-24.099482651528515,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.4916441974609651}",30,12,16.952089747489616,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.4867522559599717}",20,0,14.666353118562022,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.48190899009020244}",25,11,1.6566880410467362,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.4771139155210344}",20,7,11.677487083911267,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.4723665527410147}",30,0,-31.39104715140176,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
76,False,"{'a': 0.7, 'e': 0.46766642700990924}",20,0,-1.1536907274850101,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.7, 'e': 0.46301306831122807}",20,3,22.886272962006938,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.4584060113052235}",20,8,16.18442225860865,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.45384479528235583}",30,8,34.354627090445845,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.7, 'e': 0.44932896411722156}",25,8,-35.327172513308575,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.4448580662229411}",30,0,-100.17400620012907,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
82,False,"{'a': 0.7, 'e': 0.44043165450599925}",25,6,-47.279729382063856,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.7, 'e': 0.43604928632153556}",20,0,-6.722410860506965,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
84,False,"{'a': 0.7, 'e': 0.43171052342907973}",20,5,-44.72102651704432,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.7, 'e': 0.4274149319487267}",30,11,31.059656228728176,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.4231620823177488}",25,16,3.015447686430564,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.418951549247639}",25,2,13.379028768597253,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.4147829116815814}",30,23,13.744528657409822,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.4106557527523455}",25,11,-74.58030760126853,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
90,False,"{'a': 0.7, 'e': 0.4065696597405991}",20,2,-5.403532483309444,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.40252422403363597}",25,8,-40.3816331800785,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.7, 'e': 0.39851904108451414}",30,0,-28.05048346174027,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
93,False,"{'a': 0.7, 'e': 0.3945537103716011}",25,0,-41.6587965161158,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
94,False,"{'a': 0.7, 'e': 0.3906278353585211}",20,6,-43.8582193078802,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.3867410234545012}",25,0,-100.34135155295861,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
96,False,"{'a': 0.7, 'e': 0.38289288597511206}",20,16,7.08131717990012,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.37908303810339883}",20,15,-4.390871545897974,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.37531109885139957}",30,8,-15.851247834116577,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.7, 'e': 0.3715766910220457}",20,1,-13.701572702319883,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.36787944117144233}",20,2,13.168466342179883,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 0.3642189795715233}",20,3,12.524768941633445,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 0.3605949401730783}",25,18,7.58566667839872,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.3570069605691474}",30,0,17.77559991005685,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.35345468195878016}",20,15,11.576126021883725,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
